Unnamed: 0,index,Year,Type,Country,Area,Location,Activity,Sex of Victim,Age,Injury,Fatal (Y/N),Time,Species,Month,Day,Hour,Day - 6
377.0,377.0,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,U,12,Lacerations & punctures to lower right leg,N,16h30,Unknown,9,5.0,16.0,
382.0,382.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,25,Lacerations to right foot,N,15h00,"Bull shark, 6'",8,29.0,15.0,
383.0,383.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,37,Minor injury to ankle,N,14h00,Unknown,8,29.0,14.0,
385.0,385.0,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,U,49,Minor injury to ankle,N,16h00,Unknown,8,25.0,16.0,
387.0,387.0,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,U,21,"No inury, shark & board collided",N,16h30,"Tiger shark, 10'",8,6.0,16.0,
389.0,389.0,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,U,40,Lacerations to right hand,N,11h30,Blue shark,7,29.0,11.0,
393.0,393.0,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,U,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,Unknown,7,26.0,12.0,
394.0,394.0,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,U,29,Lacerations to left leg,N,19h05,Unknown,7,24.0,19.0,
397.0,397.0,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,U,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,13h30,"reef shark, 1m",7,20.0,13.0,
399.0,399.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,9,Minor injury to leg,N,13h00,Unknown,7,16.0,13.0,
400.0,400.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,U,11,Minor injury to toes,N,11h00,Unknown,7,16.0,11.0,
401.0,401.0,2016,Unprovoked,USA,California,"Surfside, Orange County",Kite surfing,U,61,"No injury, board damaged",N,17h00,"White shark, 10' to 12'",7,15.0,17.0,
406.0,406.0,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,U,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark,7,7.0,10.0,
409.0,409.0,2016,Provoked,AUSTRALIA,Queensland,Palm Cove,Fishing,U,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark,7,4.0,22.0,
410.0,410.0,2016,Unprovoked,USA,South Carolina,Sullivan's Island,,U,35,Minor injury,N,16h20,3' to 4' shark,6,27.0,16.0,
411.0,411.0,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,U,11,Foot injured,N,14h34,Unknown,6,25.0,14.0,
414.0,414.0,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,U,42,Lacerations and punctures to foot,N,15h25,3' to 5' shark,6,21.0,15.0,
418.0,418.0,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,U,6,Injury to lower leg,N,17h30,3' to 4' shark,6,14.0,17.0,
419.0,419.0,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,U,19,Laceration to wrist,N,15h00,3' shark,6,11.0,15.0,
421.0,421.0,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,U,64,Leg bitten,N,08h30,Unknown,6,5.0,8.0,
422.0,422.0,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,U,60,FATAL,Y,11h30,3+ m shark,6,5.0,11.0,
423.0,423.0,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,U,23,"Leg severely bitten, surgically amputated",N,09h00,Mako shark,6,4.0,9.0,
426.0,426.0,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,U,29,FATAL,Y,16h00,White shark,5,31.0,16.0,
427.0,427.0,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,U,52,Injuries to arm and shoulder,N,16h00,Unknown,5,29.0,16.0,
428.0,428.0,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,U,13,Injury to posterior right leg,N,15h45,5' shark,5,29.0,15.0,
429.0,429.0,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,U,57,Puncture wounds to thigh,N,12h00,Unknown,5,22.0,12.0,
430.0,430.0,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,U,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'",5,21.0,18.0,
431.0,431.0,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,U,11,"Back, arm & hand injured",N,17h46,Unknown,5,21.0,17.0,
432.0,432.0,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,U,48,Ankle bitten,N,09h00,"Blacktip shark, 4'",5,18.0,9.0,
433.0,433.0,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,U,23,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'",5,15.0,13.0,
434.0,434.0,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,U,59,Minor lacerations to right shoulder,N,15h49,Unknown,5,3.0,15.0,
435.0,435.0,2016,Provoked,NEW ZEALAND,North Island,Cormandel,Fishing,U,39,Foot bitten by landed shark PROVOKED INCIDENT,N,13h30,"Mako shark, 1.5 m [5']",5,2.0,13.0,
436.0,436.0,2016,Unprovoked,INDONESIA,Bali,Balian,Surfing,U,24,Elbow bitten,N,07h00,"Bull shark, 6'",4,25.0,7.0,
437.0,437.0,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,U,15,Minor injury to left foot,N,17h30,Unknown,4,23.0,17.0,
439.0,439.0,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,U,12,Minor puncture wound to foot,N,12h00,Wobbegong shark,4,19.0,12.0,
441.0,441.0,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Spearfishing,U,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,09h00,"Grey reef shark, 2 m",4,18.0,9.0,
443.0,443.0,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,Walking,U,69,FATAL,Y,10h45,"Tiger shark, 2.5 m",4,9.0,10.0,
447.0,447.0,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,U,46,Minor injury to left foot,N,11h00,Unknown,3,31.0,11.0,
448.0,448.0,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,U,22,Severe injury to thigh,N,19h00,Unknown,3,30.0,19.0,
450.0,450.0,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,U,41,"No injury, board dented",N,11h00,Unknown,3,28.0,11.0,
453.0,453.0,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,U,19,Lacerations to right foot and ankle,N,13h30,Unknown,3,11.0,13.0,
455.0,455.0,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,U,12,Superficial injury to foot,N,13h30,Unknown,3,4.0,13.0,
458.0,458.0,2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Kite surfing,U,21,Puncture wounds to right thigh,N,19h00,Unknown,2,22.0,19.0,
459.0,459.0,2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Spearfishing,U,31,Forearm bitten,N,16h00,Unknown,2,19.0,16.0,
463.0,463.0,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,U,45,Foot nipped,N,13h20,Unknown,2,5.0,13.0,
464.0,464.0,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,U,40,"No injury, shark bit board",N,16h30,Unknown,2,4.0,16.0,
468.0,468.0,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai,",Surfing,U,15,No injury,N,11h30,Unknown,1,25.0,11.0,
471.0,471.0,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,U,48,No injury,N,09h00,"Tiger shark, 14'",1,23.0,9.0,
473.0,473.0,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,U,11,Laceration to right calf,N,13h30,Blacktip shark,1,5.0,13.0,
474.0,474.0,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,U,31,Lacerations to arms & leg,N,11h30,3 m shark,1,2.0,11.0,
477.0,477.0,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,U,71,"No injury, shark bit board",N,09h00,9' shark,12,22.0,9.0,
478.0,478.0,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,U,43,"No injury, shark leapt on surfboard",N,07h00,"Bronze whaler shark, 6'",12,21.0,7.0,
483.0,483.0,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,U,22,Lacerations to both hands and forearms,N,09h00,Unknown,12,8.0,9.0,
484.0,484.0,2015,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,U,55,Lacerations to left calf,N,10h15,Galapagos shark,11,20.0,10.0,
488.0,488.0,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,U,20,Injury to left thigh,N,18h15,"Bull shark, 2.8 to 3.1 m",11,10.0,18.0,
490.0,490.0,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,U,54,Laceration to right ankle,N,11h00,Unknown,11,3.0,11.0,
491.0,491.0,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Wading,U,28,Injury to right ankle/calf & hand,N,14h00,3' to 5' shark,11,1.0,14.0,
492.0,492.0,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,U,19,"Arms severely injured, surgically amputated",N,04h00,Unknown,11,1.0,4.0,
494.0,494.0,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,U,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,Unknown,10,28.0,14.0,
495.0,495.0,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,U,42,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m",10,25.0,15.0,
496.0,496.0,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,U,21,Lacerations to left hand,N,14h30,5' shark,10,21.0,14.0,
497.0,497.0,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,U,21,Left foot bitten,N,13h50,"Spinner shark, 5'",10,19.0,13.0,
